danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,title,artist_id,artist_name
0.654,0.898,7,-5.964,1,0.0413,0.0844,0.0347,0.316,0.722,123.996,audio_features,5u8Y0lAUlBLwuhpXSDUGf4,spotify:track:5u8Y0lAUlBLwuhpXSDUGf4,https://api.spotify.com/v1/tracks/5u8Y0lAUlBLwuhpXSDUGf4,https://api.spotify.com/v1/audio-analysis/5u8Y0lAUlBLwuhpXSDUGf4,141932,4,Rain In Ibiza,4bL2B6hmLlMWnUEZnorEtG,Felix Jaehn
0.552,0.651,8,-5.114,1,0.182,0.0265,0.0,0.159,0.372,119.398,audio_features,1oIzxvT61wXOtHjcL4Sybm,spotify:track:1oIzxvT61wXOtHjcL4Sybm,https://api.spotify.com/v1/tracks/1oIzxvT61wXOtHjcL4Sybm,https://api.spotify.com/v1/audio-analysis/1oIzxvT61wXOtHjcL4Sybm,165461,5,Nie begegnet,1FXdfOOisB3d3hfZOjhjID,Esther Graf
0.497,0.888,2,-4.715,0,0.0452,0.00393,0.000562,0.0968,0.236,126.046,audio_features,7v6EVHw0iUL8ww77IaoLCZ,spotify:track:7v6EVHw0iUL8ww77IaoLCZ,https://api.spotify.com/v1/tracks/7v6EVHw0iUL8ww77IaoLCZ,https://api.spotify.com/v1/audio-analysis/7v6EVHw0iUL8ww77IaoLCZ,239894,4,Love Me Again,34v5MVKeQnIo0CWYMbbrPf,John Newman
0.905,0.563,8,-6.135,1,0.102,0.0254,9.71e-06,0.113,0.324,106.998,audio_features,1rDQ4oMwGJI7B4tovsBOxc,spotify:track:1rDQ4oMwGJI7B4tovsBOxc,https://api.spotify.com/v1/tracks/1rDQ4oMwGJI7B4tovsBOxc,https://api.spotify.com/v1/audio-analysis/1rDQ4oMwGJI7B4tovsBOxc,173948,4,First Class,2LIk90788K0zvyj2JJVwkJ,Jack Harlow
0.702,0.82,7,-4.323,0,0.063,0.196,0.0,0.156,0.52,107.936,audio_features,2KMJ5CoxY4ECG9TZyNWmpv,spotify:track:2KMJ5CoxY4ECG9TZyNWmpv,https://api.spotify.com/v1/tracks/2KMJ5CoxY4ECG9TZyNWmpv,https://api.spotify.com/v1/audio-analysis/2KMJ5CoxY4ECG9TZyNWmpv,187126,4,Heatwave (feat. Akon),3t5xRXzsuZmMDkQzgOX35S,Robin Schulz
0.636,0.876,7,-3.413,1,0.0555,0.00164,0.0,0.117,0.799,120.983,audio_features,63WuQOXohQIxOxIFA2K7bR,spotify:track:63WuQOXohQIxOxIFA2K7bR,https://api.spotify.com/v1/tracks/63WuQOXohQIxOxIFA2K7bR,https://api.spotify.com/v1/audio-analysis/63WuQOXohQIxOxIFA2K7bR,148064,4,SUPERMODEL,0lAWpj5szCSwM4rUMHYmrr,Måneskin
0.82,0.731,7,-7.89,1,0.274,0.38,0.0,0.152,0.503,134.023,audio_features,6M8ys9IHYwxUeAhAcC6f7m,spotify:track:6M8ys9IHYwxUeAhAcC6f7m,https://api.spotify.com/v1/tracks/6M8ys9IHYwxUeAhAcC6f7m,https://api.spotify.com/v1/audio-analysis/6M8ys9IHYwxUeAhAcC6f7m,188200,4,INZIDANCE,3KQylwDxYE7Vxli0BSuwaf,$OHO BANI
0.747,0.561,0,-9.152,1,0.333,0.225,0.0,0.05,0.501,77.523,audio_features,48e9gA75JKjawtBzoyf72B,spotify:track:48e9gA75JKjawtBzoyf72B,https://api.spotify.com/v1/tracks/48e9gA75JKjawtBzoyf72B,https://api.spotify.com/v1/audio-analysis/48e9gA75JKjawtBzoyf72B,196987,4,Tattergreis,7ADRm1oT7VmhRRZrZqycV6,KASIMIR1441
0.741,0.804,0,-5.885,1,0.29,0.715,0.0,0.172,0.567,140.007,audio_features,1tnWfi3SLsgSO7BcP22DbJ,spotify:track:1tnWfi3SLsgSO7BcP22DbJ,https://api.spotify.com/v1/tracks/1tnWfi3SLsgSO7BcP22DbJ,https://api.spotify.com/v1/audio-analysis/1tnWfi3SLsgSO7BcP22DbJ,127685,4,3ER BMW,6vNAKgK5d74N1I0zTxRPDp,Tream
0.559,0.634,11,-6.218,0,0.477,0.301,0.000318,0.0837,0.29,154.877,audio_features,4151t4alIElfFeqeJTchjm,spotify:track:4151t4alIElfFeqeJTchjm,https://api.spotify.com/v1/tracks/4151t4alIElfFeqeJTchjm,https://api.spotify.com/v1/audio-analysis/4151t4alIElfFeqeJTchjm,154096,4,Onkelz Poster,1ZyqnbV7Brg5LgyS4EZCUD,FiNCH
0.548,0.723,6,-6.002,1,0.0375,0.0969,1.28e-05,0.337,0.499,125.088,audio_features,4zLBcDtvYNVtF9fnG6lme3,spotify:track:4zLBcDtvYNVtF9fnG6lme3,https://api.spotify.com/v1/tracks/4zLBcDtvYNVtF9fnG6lme3,https://api.spotify.com/v1/audio-analysis/4zLBcDtvYNVtF9fnG6lme3,179960,4,Sun Goes Down (feat. Jasmine Thompson) - Radio Mix,3t5xRXzsuZmMDkQzgOX35S,Robin Schulz
0.605,0.816,1,-5.961,1,0.236,0.00519,0.0731,0.183,0.36,149.883,audio_features,3rGrqBvabeB9BHXlVvxAeE,spotify:track:3rGrqBvabeB9BHXlVvxAeE,https://api.spotify.com/v1/tracks/3rGrqBvabeB9BHXlVvxAeE,https://api.spotify.com/v1/audio-analysis/3rGrqBvabeB9BHXlVvxAeE,135712,4,Sun Goes Down,1g9S6C1WRQYwddKiR3Kwcv,Oberg
0.608,0.505,1,-8.263,1,0.0529,0.708,0.0,0.315,0.722,153.001,audio_features,4JYzwT7WZqu7uL7GhxDSmz,spotify:track:4JYzwT7WZqu7uL7GhxDSmz,https://api.spotify.com/v1/tracks/4JYzwT7WZqu7uL7GhxDSmz,https://api.spotify.com/v1/audio-analysis/4JYzwT7WZqu7uL7GhxDSmz,148000,4,Augenringe - Akustik Version,7CItvAtcwLtFuedYlehNlj,JONAS
0.506,0.88,4,-4.711,0,0.0965,0.0115,0.0,0.0719,0.361,159.871,audio_features,1dN8YYO1s6an0mb3MIWrox,spotify:track:1dN8YYO1s6an0mb3MIWrox,https://api.spotify.com/v1/tracks/1dN8YYO1s6an0mb3MIWrox,https://api.spotify.com/v1/audio-analysis/1dN8YYO1s6an0mb3MIWrox,177000,4,Dance Tonight,0CbeG1224FS58EUx4tPevZ,Timmy Trumpet
0.608,0.719,2,-5.657,1,0.0706,0.205,0.0,0.142,0.336,169.864,audio_features,0QiC98xVWbpch5HaNG2nEd,spotify:track:0QiC98xVWbpch5HaNG2nEd,https://api.spotify.com/v1/tracks/0QiC98xVWbpch5HaNG2nEd,https://api.spotify.com/v1/audio-analysis/0QiC98xVWbpch5HaNG2nEd,135535,4,Bad Vibes,3EbijqAmuo7LaC5dRrf7Jq,Fillies
0.746,0.7,8,-6.42,0,0.109,0.0427,0.00146,0.552,0.687,133.044,audio_features,3a0F2N6rXJSibQTp77xH4f,spotify:track:3a0F2N6rXJSibQTp77xH4f,https://api.spotify.com/v1/tracks/3a0F2N6rXJSibQTp77xH4f,https://api.spotify.com/v1/audio-analysis/3a0F2N6rXJSibQTp77xH4f,155137,4,Ohne Benzin,3XZewrXpRQqqCMuUMAIhvN,Domiziana
0.846,0.701,0,-10.036,0,0.255,0.131,0.448,0.119,0.795,140.004,audio_features,5BiypsiapBLRQELkSFBby2,spotify:track:5BiypsiapBLRQELkSFBby2,https://api.spotify.com/v1/tracks/5BiypsiapBLRQELkSFBby2,https://api.spotify.com/v1/audio-analysis/5BiypsiapBLRQELkSFBby2,148152,4,Bass,30ttvzupq5sM6n9NBx6uBx,Dennis Dies Das
0.674,0.69,7,-6.258,1,0.181,0.741,0.0,0.132,0.492,175.984,audio_features,0J4ee9wYcPgAwOrtchXVEa,spotify:track:0J4ee9wYcPgAwOrtchXVEa,https://api.spotify.com/v1/tracks/0J4ee9wYcPgAwOrtchXVEa,https://api.spotify.com/v1/audio-analysis/0J4ee9wYcPgAwOrtchXVEa,144886,4,Feelings,3pOnFT5MHIqIe9kcFCznZ8,CIVO
