danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,title,artist_id,artist_name
0.806,0.633,5,-6.355,1,0.137,0.38,0.0,0.234,0.17,128.041,audio_features,2YO9S16xa3rnM8LZGntcHX,spotify:track:2YO9S16xa3rnM8LZGntcHX,https://api.spotify.com/v1/tracks/2YO9S16xa3rnM8LZGntcHX,https://api.spotify.com/v1/audio-analysis/2YO9S16xa3rnM8LZGntcHX,133125,4,Sacrifice,619CzMJPPWrCeZwx5qw6ko,Besomorph
0.435,0.768,6,-5.352,0,0.201,0.0857,0.000231,0.0918,0.378,107.588,audio_features,4rPJSqrov3zqGwXlemLBMw,spotify:track:4rPJSqrov3zqGwXlemLBMw,https://api.spotify.com/v1/tracks/4rPJSqrov3zqGwXlemLBMw,https://api.spotify.com/v1/audio-analysis/4rPJSqrov3zqGwXlemLBMw,239888,4,Escapism. - Sped Up,5KKpBU5eC2tJDzf0wmlRp2,RAYE
0.768,0.644,5,-6.671,0,0.136,0.736,0.000837,0.173,0.53,95.05,audio_features,609E1JCInJncactoMmkDon,spotify:track:609E1JCInJncactoMmkDon,https://api.spotify.com/v1/tracks/609E1JCInJncactoMmkDon,https://api.spotify.com/v1/audio-analysis/609E1JCInJncactoMmkDon,194543,4,BESO,7ltDVBr6mKbRvohxheJ9h1,ROSALÍA
0.916,0.583,1,-8.067,1,0.241,0.186,0.0,0.0798,0.661,141.095,audio_features,2FDTHlrBguDzQkp7PVj16Q,spotify:track:2FDTHlrBguDzQkp7PVj16Q,https://api.spotify.com/v1/tracks/2FDTHlrBguDzQkp7PVj16Q,https://api.spotify.com/v1/audio-analysis/2FDTHlrBguDzQkp7PVj16Q,226383,4,Sprinter,6Ip8FS7vWT1uKkJSweANQK,Dave
0.609,0.792,2,-7.106,1,0.0756,0.0214,0.0,0.136,0.594,163.944,audio_features,6MtXDDHNC16r4RpdYhufO8,spotify:track:6MtXDDHNC16r4RpdYhufO8,https://api.spotify.com/v1/tracks/6MtXDDHNC16r4RpdYhufO8,https://api.spotify.com/v1/audio-analysis/6MtXDDHNC16r4RpdYhufO8,216280,4,Guns N' Roses,1yPdXrLhRc50YbwiwCr1uN,Johnning
0.573,0.422,10,-7.621,0,0.0678,0.551,1.31e-05,0.102,0.693,124.357,audio_features,26b3oVLrRUaaybJulow9kz,spotify:track:26b3oVLrRUaaybJulow9kz,https://api.spotify.com/v1/tracks/26b3oVLrRUaaybJulow9kz,https://api.spotify.com/v1/audio-analysis/26b3oVLrRUaaybJulow9kz,184791,5,People,7kjSuFGKhLm8b5qXoMhRkJ,Libianca
0.561,0.965,7,-3.673,0,0.0343,0.00383,7.07e-06,0.371,0.304,128.04,audio_features,4uUG5RXrOk84mYEfFvj3cK,spotify:track:4uUG5RXrOk84mYEfFvj3cK,https://api.spotify.com/v1/tracks/4uUG5RXrOk84mYEfFvj3cK,https://api.spotify.com/v1/audio-analysis/4uUG5RXrOk84mYEfFvj3cK,175238,4,I'm Good (Blue),1Cs0zKBU1kc0i8ypK3B9ai,David Guetta
0.637,0.643,4,-6.571,1,0.0519,0.13,1.8e-06,0.142,0.533,97.008,audio_features,0V3wPSX9ygBnCm8psDIegu,spotify:track:0V3wPSX9ygBnCm8psDIegu,https://api.spotify.com/v1/tracks/0V3wPSX9ygBnCm8psDIegu,https://api.spotify.com/v1/audio-analysis/0V3wPSX9ygBnCm8psDIegu,200690,4,Anti-Hero,06HL4z0CvFAxyc27GXpf02,Taylor Swift
0.669,0.816,8,-4.67,0,0.148,0.125,0.0,0.0619,0.469,109.986,audio_features,4boTLpK9BAduDMIEuSOcmU,spotify:track:4boTLpK9BAduDMIEuSOcmU,https://api.spotify.com/v1/tracks/4boTLpK9BAduDMIEuSOcmU,https://api.spotify.com/v1/audio-analysis/4boTLpK9BAduDMIEuSOcmU,187636,4,Don't Let Me Die,44aoeFCBHXcE6v9hM7dBcl,Meric
0.78,0.689,7,-5.668,1,0.141,0.0368,9.69e-06,0.0698,0.642,115.042,audio_features,1xzi1Jcr7mEi9K2RfzLOqS,spotify:track:1xzi1Jcr7mEi9K2RfzLOqS,https://api.spotify.com/v1/tracks/1xzi1Jcr7mEi9K2RfzLOqS,https://api.spotify.com/v1/audio-analysis/1xzi1Jcr7mEi9K2RfzLOqS,225389,4,CUFF IT,6vWDO969PvNqNYHIOW5v0m,Beyoncé
0.795,0.507,1,-8.06,1,0.303,0.0612,0.0,0.272,0.48,146.771,audio_features,0Ymjv0OJeIIPXr6s9wi3iW,spotify:track:0Ymjv0OJeIIPXr6s9wi3iW,https://api.spotify.com/v1/tracks/0Ymjv0OJeIIPXr6s9wi3iW,https://api.spotify.com/v1/audio-analysis/0Ymjv0OJeIIPXr6s9wi3iW,88304,4,MATHEMATICAL DISRESPECT,6FAo7ORAHEzSSf5q10LLfN,Lil Mabu
0.74,0.697,8,-4.912,1,0.034,0.0268,0.0,0.224,0.732,138.992,audio_features,6dgUya35uo964z7GZXM07g,spotify:track:6dgUya35uo964z7GZXM07g,https://api.spotify.com/v1/tracks/6dgUya35uo964z7GZXM07g,https://api.spotify.com/v1/audio-analysis/6dgUya35uo964z7GZXM07g,163648,4,Nonsense,74KM79TiuVKeVCqs8QtB0B,Sabrina Carpenter
0.738,0.678,7,-6.107,0,0.0406,0.303,0.0,0.272,0.264,110.023,audio_features,7aDxQPHQmH5YZGf9yxIRnn,spotify:track:7aDxQPHQmH5YZGf9yxIRnn,https://api.spotify.com/v1/tracks/7aDxQPHQmH5YZGf9yxIRnn,https://api.spotify.com/v1/audio-analysis/7aDxQPHQmH5YZGf9yxIRnn,161727,4,Falling Apart,619CzMJPPWrCeZwx5qw6ko,Besomorph
0.574,0.469,4,-8.209,1,0.0254,0.534,9.21e-05,0.128,0.288,132.023,audio_features,78Sw5GDo6AlGwTwanjXbGh,spotify:track:78Sw5GDo6AlGwTwanjXbGh,https://api.spotify.com/v1/tracks/78Sw5GDo6AlGwTwanjXbGh,https://api.spotify.com/v1/audio-analysis/78Sw5GDo6AlGwTwanjXbGh,242485,4,Here With Me,5y8tKLUfMvliMe8IKamR32,d4vd
0.498,0.897,2,-4.907,1,0.045,0.00136,0.0,0.118,0.373,169.902,audio_features,5w40ZYhbBMAlHYNDaVJIUu,spotify:track:5w40ZYhbBMAlHYNDaVJIUu,https://api.spotify.com/v1/tracks/5w40ZYhbBMAlHYNDaVJIUu,https://api.spotify.com/v1/audio-analysis/5w40ZYhbBMAlHYNDaVJIUu,184013,4,Chemical,246dkjvS1zLTtiykXe5h60,Post Malone
0.954,0.516,6,-5.817,1,0.16,0.03,7.54e-06,0.0504,0.624,105.001,audio_features,6UN73IYd0hZxLi8wFPMQij,spotify:track:6UN73IYd0hZxLi8wFPMQij,https://api.spotify.com/v1/tracks/6UN73IYd0hZxLi8wFPMQij,https://api.spotify.com/v1/audio-analysis/6UN73IYd0hZxLi8wFPMQij,139560,4,Players,6AMd49uBDJfhf30Ak2QR5s,Coi Leray
0.618,0.795,1,-3.712,0,0.0545,0.182,0.0,0.117,0.311,107.996,audio_features,5e7tZ9XNCWnputRo3IcIfr,spotify:track:5e7tZ9XNCWnputRo3IcIfr,https://api.spotify.com/v1/tracks/5e7tZ9XNCWnputRo3IcIfr,https://api.spotify.com/v1/audio-analysis/5e7tZ9XNCWnputRo3IcIfr,222222,4,The Place We Met,44aoeFCBHXcE6v9hM7dBcl,Meric
0.615,0.616,8,-6.523,1,0.0622,0.0623,0.0,0.579,0.0734,89.977,audio_features,4i6cwNY6oIUU2XZxPIw82Y,spotify:track:4i6cwNY6oIUU2XZxPIw82Y,https://api.spotify.com/v1/tracks/4i6cwNY6oIUU2XZxPIw82Y,https://api.spotify.com/v1/audio-analysis/4i6cwNY6oIUU2XZxPIw82Y,201493,4,Karma (feat. Ice Spice),06HL4z0CvFAxyc27GXpf02,Taylor Swift
