Song,Artist
Megan Thee Stallion,American Teenager
The Beths,Plan B
Let's Eat Grandma,Expert in a Dying Field
Omar Apollo,Happy New Year
Next >,Tamagotchi
Pompeii,Molly Nilsson
Derivative,Third Coast Percussion
Abilene,Plains
Bandana,Fireboy DML & Asake
About Damn Time,Lizzo
Shirt,SZA
Something in the Orange,Zach Bryan
Jackie Down the Line,Fontaines D.C.
L'enfer,Stromae
Bad Habit,Steve Lacy
Iced Tea,Joyce Wrice x KAYTRANADA
What I Want,MUNA
This is Why,Paramore
pushin P,Gunna & Future feat. Young Thug
SAOKO,ROSALÍA
Runner,Alex G
El Apagón,Bad Bunny
ALIEN SUPERSTAR,Beyoncé
F.N.F. (Let's Go),Hitkidd & GloRilla
